1,"BULBASAUR",12,4,118,118,90
2,"IVYSAUR",12,4,151,151,120
3,"VENUSAUR",12,4,198,198,160
4,"CHARMANDER",10,null,116,96,78
5,"CHARMELEON",10,null,158,129,116
6,"CHARIZARD",10,3,223,176,156
7,"SQUIRTLE",11,null,94,122,88
8,"WARTORTLE",11,null,126,155,118
9,"BLASTOISE",11,null,171,210,158
10,"CATERPIE",7,null,55,62,90
11,"METAPOD",7,null,45,94,100
12,"BUTTERFREE",7,3,167,151,120
13,"WEEDLE",7,4,63,55,80
14,"KAKUNA",7,4,46,86,90
15,"BEEDRILL",7,4,169,150,130
16,"PIDGEY",1,3,85,76,80
17,"PIDGEOTTO",1,3,117,108,126
18,"PIDGEOT",1,3,166,157,166
19,"RATTATA",1,null,103,70,60
20,"RATICATE",1,null,161,144,110
21,"SPEAROW",1,3,112,61,80
22,"FEAROW",1,3,182,135,130
23,"EKANS",4,null,110,102,70
24,"ARBOK",4,null,167,158,120
25,"PIKACHU",13,null,112,101,70
26,"RAICHU",13,null,193,165,120
27,"SANDSHREW",5,null,126,145,100
28,"SANDSLASH",5,null,182,202,150
29,"NIDORAN",4,null,86,94,110
30,"NIDORINA",4,null,117,126,140
31,"NIDOQUEEN",4,5,180,174,180
32,"NIDORAN",4,null,105,76,92
33,"NIDORINO",4,null,137,112,122
34,"NIDOKING",4,5,204,157,162
35,"CLEFAIRY",18,null,107,116,140
36,"CLEFABLE",18,null,178,171,190
37,"VULPIX",10,null,96,122,76
38,"NINETALES",10,null,169,204,146
39,"JIGGLYPUFF",1,18,80,44,230
40,"WIGGLYTUFF",1,18,156,93,280
41,"ZUBAT",4,3,83,76,80
42,"GOLBAT",4,3,161,153,150
43,"ODDISH",12,4,131,116,90
44,"GLOOM",12,4,153,139,120
45,"VILEPLUME",12,4,202,170,150
46,"PARAS",7,12,121,99,70
47,"PARASECT",7,12,165,146,120
48,"VENONAT",7,4,100,102,120
49,"VENOMOTH",7,4,179,150,140
50,"DIGLETT",5,null,109,88,20
51,"DUGTRIO",5,null,167,147,70
52,"MEOWTH",1,null,92,81,80
53,"PERSIAN",1,null,150,139,130
54,"PSYDUCK",11,null,122,96,100
55,"GOLDUCK",11,null,191,163,160
56,"MANKEY",2,null,148,87,80
57,"PRIMEAPE",2,null,207,144,130
58,"GROWLITHE",10,null,136,96,110
59,"ARCANINE",10,null,227,166,180
60,"POLIWAG",11,null,101,82,80
61,"POLIWHIRL",11,null,130,130,130
62,"POLIWRATH",11,2,182,187,180
63,"ABRA",14,null,195,103,50
64,"KADABRA",14,null,232,138,80
65,"ALAKAZAM",14,null,271,194,110
66,"MACHOP",2,null,137,88,140
67,"MACHOKE",2,null,177,130,160
68,"MACHAMP",2,null,234,162,180
69,"BELLSPROUT",12,4,139,64,100
70,"WEEPINBELL",12,4,172,95,130
71,"VICTREEBEL",12,4,207,138,160
72,"TENTACOOL",11,4,97,182,80
73,"TENTACRUEL",11,4,166,237,160
74,"GEODUDE",6,5,132,163,80
75,"GRAVELER",6,5,164,196,110
76,"GOLEM",6,5,211,229,160
77,"PONYTA",10,null,170,132,100
78,"RAPIDASH",10,null,207,167,130
79,"SLOWPOKE",11,14,109,109,180
80,"SLOWBRO",11,14,177,194,190
81,"MAGNEMITE",13,9,165,128,50
82,"MAGNETON",13,9,223,182,100
83,"FARFETCHD",1,3,124,118,104
84,"DODUO",1,3,158,88,70
85,"DODRIO",1,3,218,145,120
86,"SEEL",11,null,85,128,130
87,"DEWGONG",11,15,139,184,180
88,"GRIMER",4,null,135,90,160
89,"MUK",4,null,190,184,210
90,"SHELLDER",11,null,116,168,60
91,"CLOYSTER",11,15,186,323,100
92,"GASTLY",8,4,186,70,60
93,"HAUNTER",8,4,223,112,90
94,"GENGAR",8,4,261,156,120
95,"ONIX",6,5,85,288,70
96,"DROWZEE",14,null,89,158,120
97,"HYPNO",14,null,144,215,170
98,"KRABBY",11,null,181,156,60
99,"KINGLER",11,null,240,214,110
100,"VOLTORB",13,null,109,114,80
101,"ELECTRODE",13,null,173,179,120
102,"EXEGGCUTE",12,14,107,140,120
103,"EXEGGUTOR",12,14,233,158,190
104,"CUBONE",5,null,90,165,100
105,"MAROWAK",5,null,144,200,120
106,"HITMONLEE",2,null,224,211,100
107,"HITMONCHAN",2,null,193,212,100
108,"LICKITUNG",1,null,108,137,180
109,"KOFFING",4,null,119,164,80
110,"WEEZING",4,null,174,221,130
111,"RHYHORN",5,6,140,157,160
112,"RHYDON",5,6,222,206,210
113,"CHANSEY",1,null,60,176,500
114,"TANGELA",12,null,183,205,130
115,"KANGASKHAN",1,null,181,165,210
116,"HORSEA",11,null,129,125,60
117,"SEADRA",11,null,187,182,110
118,"GOLDEEN",11,null,123,115,90
119,"SEAKING",11,null,175,154,160
120,"STARYU",11,null,137,112,60
121,"STARMIE",11,14,210,184,120
122,"MR_MIME",14,18,192,233,80
123,"SCYTHER",7,3,218,170,140
124,"JYNX",15,14,223,182,130
125,"ELECTABUZZ",13,null,198,173,130
126,"MAGMAR",10,null,206,169,130
127,"PINSIR",7,null,238,197,130
128,"TAUROS",1,null,198,197,150
